,State,F Year,f Gender,ICD-10 113 Cause List,F Under 5 years,F 5-9 years,F 10-14 years,F 15-19 years,F 20-24 years,F 25-29 years,F 30-34 years,F 35-39 years,F 40-44 years,F 45-49 years,F 50-54 years,F 55-59 years,F 60-64 years,F 65-69 years,F 70-74 years,F 75-79 years,F 80-84 years,F 85years and older,F Not Stated,C Year,C Total population,C Male Total population,C Female Total population,C Under 5 years,C 5 to 9 years,C 10 to 14 years,C 15 to 19 years,C 20 to 24 years,C 25 to 29 years,C 30 to 34 years,C 35 to 39 years,C 40 to 44 years,C 45 to 49 years,C 50 to 54 years,C 55 to 59 years,C 60 to 64 years,C 65 to 69 years,C 70 to 74 years,C 75 to 79 years,C 80 to 84 years,C 85 years and over,Total Deaths
23,Alabama,2012,Male,Suicide,0,0,0,17,25,30,22,27,35,39,41,35,37,34,23,15,24,0,0,2012,4866478,2363464,2503014,309366.07,314406.448,323053.874,342714.325,344492.103,313081.226,301833.733,307901.396,321323.257,348830.614,353860.745,317324.12,286990.115,219613.718,165056.89,125577.249,91350.231,79572.687,404
24,Alabama,2013,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,4876320,2366371,2509949,304011.801,310237.881,323149.722,339831.574,353427.877,314644.836,304493.838,301423.059,319506.461,339901.863,352903.849,323171.234,292577.435,226579.814,169714.778,129133.335,91262.86200000001,82020.394,0
25,Alabama,2013,Female,Homicide,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,4876320,2366371,2509949,304011.801,310237.881,323149.722,339831.574,353427.877,314644.836,304493.838,301423.059,319506.461,339901.863,352903.849,323171.234,292577.435,226579.814,169714.778,129133.335,91262.86200000001,82020.394,11
26,Alabama,2013,Female,Suicide,0,0,0,0,0,0,0,0,15,11,0,13,12,0,0,0,0,0,0,2013,4876320,2366371,2509949,304011.801,310237.881,323149.722,339831.574,353427.877,314644.836,304493.838,301423.059,319506.461,339901.863,352903.849,323171.234,292577.435,226579.814,169714.778,129133.335,91262.86200000001,82020.394,51
27,Alabama,2013,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,4876320,2366371,2509949,304011.801,310237.881,323149.722,339831.574,353427.877,314644.836,304493.838,301423.059,319506.461,339901.863,352903.849,323171.234,292577.435,226579.814,169714.778,129133.335,91262.86200000001,82020.394,0
28,Alabama,2013,Male,Homicide,0,0,0,24,52,42,44,29,23,16,15,10,0,0,0,0,0,0,0,2013,4876320,2366371,2509949,304011.801,310237.881,323149.722,339831.574,353427.877,314644.836,304493.838,301423.059,319506.461,339901.863,352903.849,323171.234,292577.435,226579.814,169714.778,129133.335,91262.86200000001,82020.394,255
29,Alabama,2013,Male,Suicide,0,0,0,11,35,36,32,23,22,29,51,39,28,28,23,29,14,0,0,2013,4876320,2366371,2509949,304011.801,310237.881,323149.722,339831.574,353427.877,314644.836,304493.838,301423.059,319506.461,339901.863,352903.849,323171.234,292577.435,226579.814,169714.778,129133.335,91262.86200000001,82020.394,400
30,Alabama,2014,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,4622427,2241299,2381128,287832.998,292917.391,307281.114,314535.16,335268.026,302180.411,294814.244,284124.398,303428.139,315063.694,332427.464,308946.777,278137.22,220242.179,160548.356,122524.222,84109.831,77027.34,0
31,Alabama,2014,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,4622427,2241299,2381128,287832.998,292917.391,307281.114,314535.16,335268.026,302180.411,294814.244,284124.398,303428.139,315063.694,332427.464,308946.777,278137.22,220242.179,160548.356,122524.222,84109.831,77027.34,0
32,Alabama,2014,Female,Suicide,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2014,4622427,2241299,2381128,287832.998,292917.391,307281.114,314535.16,335268.026,302180.411,294814.244,284124.398,303428.139,315063.694,332427.464,308946.777,278137.22,220242.179,160548.356,122524.222,84109.831,77027.34,17
33,Alabama,2014,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,4622427,2241299,2381128,287832.998,292917.391,307281.114,314535.16,335268.026,302180.411,294814.244,284124.398,303428.139,315063.694,332427.464,308946.777,278137.22,220242.179,160548.356,122524.222,84109.831,77027.34,0
34,Alabama,2014,Male,Homicide,0,0,0,20,42,41,35,37,27,12,10,0,0,0,0,0,0,0,0,2014,4622427,2241299,2381128,287832.998,292917.391,307281.114,314535.16,335268.026,302180.411,294814.244,284124.398,303428.139,315063.694,332427.464,308946.777,278137.22,220242.179,160548.356,122524.222,84109.831,77027.34,224
35,Alabama,2014,Male,Suicide,0,0,0,12,23,22,30,33,39,32,39,34,38,20,26,19,11,0,0,2014,4622427,2241299,2381128,287832.998,292917.391,307281.114,314535.16,335268.026,302180.411,294814.244,284124.398,303428.139,315063.694,332427.464,308946.777,278137.22,220242.179,160548.356,122524.222,84109.831,77027.34,378
36,Alabama,2015,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,4727058,2293421,2433637,289513.793,298698.25,312091.403,315073.489,337856.325,309037.437,301940.805,288415.468,306629.081,314513.92,337928.917,319775.869,290598.638,236090.637,171961.53,129063.528,87587.926,80089.16,0
37,Alabama,2015,Female,Homicide,0,0,0,0,15,0,11,0,0,12,0,0,0,0,0,0,0,0,0,2015,4727058,2293421,2433637,289513.793,298698.25,312091.403,315073.489,337856.325,309037.437,301940.805,288415.468,306629.081,314513.92,337928.917,319775.869,290598.638,236090.637,171961.53,129063.528,87587.926,80089.16,38
38,Alabama,2015,Female,Suicide,0,0,0,0,0,0,10,0,11,10,0,10,13,0,0,0,0,0,0,2015,4727058,2293421,2433637,289513.793,298698.25,312091.403,315073.489,337856.325,309037.437,301940.805,288415.468,306629.081,314513.92,337928.917,319775.869,290598.638,236090.637,171961.53,129063.528,87587.926,80089.16,54
39,Alabama,2015,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,4727058,2293421,2433637,289513.793,298698.25,312091.403,315073.489,337856.325,309037.437,301940.805,288415.468,306629.081,314513.92,337928.917,319775.869,290598.638,236090.637,171961.53,129063.528,87587.926,80089.16,0
40,Alabama,2015,Male,Homicide,0,0,0,29,52,60,47,29,32,19,22,15,0,0,0,0,0,0,0,2015,4727058,2293421,2433637,289513.793,298698.25,312091.403,315073.489,337856.325,309037.437,301940.805,288415.468,306629.081,314513.92,337928.917,319775.869,290598.638,236090.637,171961.53,129063.528,87587.926,80089.16,305
41,Alabama,2015,Male,Suicide,0,0,0,17,30,35,25,34,36,30,44,41,32,36,18,16,19,21,0,2015,4727058,2293421,2433637,289513.793,298698.25,312091.403,315073.489,337856.325,309037.437,301940.805,288415.468,306629.081,314513.92,337928.917,319775.869,290598.638,236090.637,171961.53,129063.528,87587.926,80089.16,434
42,Alabama,2016,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,4939554,2402820,2536734,297332.554,310900.177,320856.26,330170.732,343827.027,322700.917,313094.82,302580.857,316802.483,321475.736,349063.184,340091.237,304178.824,258893.15,188860.961,137044.758,95380.591,85788.3,0
43,Alabama,2016,Female,Homicide,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,4939554,2402820,2536734,297332.554,310900.177,320856.26,330170.732,343827.027,322700.917,313094.82,302580.857,316802.483,321475.736,349063.184,340091.237,304178.824,258893.15,188860.961,137044.758,95380.591,85788.3,22
44,Alabama,2016,Female,Suicide,0,0,0,0,0,0,0,11,11,0,0,18,13,0,0,0,0,0,0,2016,4939554,2402820,2536734,297332.554,310900.177,320856.26,330170.732,343827.027,322700.917,313094.82,302580.857,316802.483,321475.736,349063.184,340091.237,304178.824,258893.15,188860.961,137044.758,95380.591,85788.3,53
45,Alabama,2016,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,4939554,2402820,2536734,297332.554,310900.177,320856.26,330170.732,343827.027,322700.917,313094.82,302580.857,316802.483,321475.736,349063.184,340091.237,304178.824,258893.15,188860.961,137044.758,95380.591,85788.3,0
46,Alabama,2016,Male,Homicide,0,0,0,46,77,66,53,38,36,19,11,13,0,0,0,0,0,0,0,2016,4939554,2402820,2536734,297332.554,310900.177,320856.26,330170.732,343827.027,322700.917,313094.82,302580.857,316802.483,321475.736,349063.184,340091.237,304178.824,258893.15,188860.961,137044.758,95380.591,85788.3,359
47,Alabama,2016,Male,Suicide,0,0,0,22,34,38,24,29,27,33,49,33,34,34,29,25,16,0,0,2016,4939554,2402820,2536734,297332.554,310900.177,320856.26,330170.732,343827.027,322700.917,313094.82,302580.857,316802.483,321475.736,349063.184,340091.237,304178.824,258893.15,188860.961,137044.758,95380.591,85788.3,427
48,Alabama,2017,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,4761712,2309733,2451979,285582.0,297895.0,306708.0,318280.0,332013.0,315911.0,298608.0,291103.0,299061.0,305983.0,331703.0,326922.0,300538.0,254130.0,189128.0,134014.0,91979.0,82154.0,0
49,Alabama,2017,Female,Homicide,0,0,0,0,15,0,11,11,0,0,0,0,0,0,0,0,0,0,0,2017,4761712,2309733,2451979,285582.0,297895.0,306708.0,318280.0,332013.0,315911.0,298608.0,291103.0,299061.0,305983.0,331703.0,326922.0,300538.0,254130.0,189128.0,134014.0,91979.0,82154.0,37
50,Alabama,2017,Female,Suicide,0,0,0,0,0,0,0,0,12,0,0,13,0,0,0,0,0,0,0,2017,4761712,2309733,2451979,285582.0,297895.0,306708.0,318280.0,332013.0,315911.0,298608.0,291103.0,299061.0,305983.0,331703.0,326922.0,300538.0,254130.0,189128.0,134014.0,91979.0,82154.0,25
51,Alabama,2017,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,4761712,2309733,2451979,285582.0,297895.0,306708.0,318280.0,332013.0,315911.0,298608.0,291103.0,299061.0,305983.0,331703.0,326922.0,300538.0,254130.0,189128.0,134014.0,91979.0,82154.0,0
52,Alabama,2017,Male,Homicide,0,0,0,40,79,79,59,42,34,29,12,14,0,0,0,0,0,0,0,2017,4761712,2309733,2451979,285582.0,297895.0,306708.0,318280.0,332013.0,315911.0,298608.0,291103.0,299061.0,305983.0,331703.0,326922.0,300538.0,254130.0,189128.0,134014.0,91979.0,82154.0,388
53,Alabama,2017,Male,Suicide,0,0,0,13,35,31,30,37,32,40,38,48,48,36,44,28,11,0,0,2017,4761712,2309733,2451979,285582.0,297895.0,306708.0,318280.0,332013.0,315911.0,298608.0,291103.0,299061.0,305983.0,331703.0,326922.0,300538.0,254130.0,189128.0,134014.0,91979.0,82154.0,471
54,Alaska,2009,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,734628,380526,354102,55508.075000000004,52118.037000000004,53567.863,58267.975000000006,63028.276999999995,55824.536,46877.865,47433.130000000005,55528.507,58674.694,55982.401000000005,46577.534,30845.068,19721.537,13753.909,9854.869999999999,6238.848,5240.079,0
55,Alaska,2009,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,734628,380526,354102,55508.075000000004,52118.037000000004,53567.863,58267.975000000006,63028.276999999995,55824.536,46877.865,47433.130000000005,55528.507,58674.694,55982.401000000005,46577.534,30845.068,19721.537,13753.909,9854.869999999999,6238.848,5240.079,0
56,Alaska,2009,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,734628,380526,354102,55508.075000000004,52118.037000000004,53567.863,58267.975000000006,63028.276999999995,55824.536,46877.865,47433.130000000005,55528.507,58674.694,55982.401000000005,46577.534,30845.068,19721.537,13753.909,9854.869999999999,6238.848,5240.079,0
57,Alaska,2009,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,734628,380526,354102,55508.075000000004,52118.037000000004,53567.863,58267.975000000006,63028.276999999995,55824.536,46877.865,47433.130000000005,55528.507,58674.694,55982.401000000005,46577.534,30845.068,19721.537,13753.909,9854.869999999999,6238.848,5240.079,0
58,Alaska,2009,Male,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,734628,380526,354102,55508.075000000004,52118.037000000004,53567.863,58267.975000000006,63028.276999999995,55824.536,46877.865,47433.130000000005,55528.507,58674.694,55982.401000000005,46577.534,30845.068,19721.537,13753.909,9854.869999999999,6238.848,5240.079,0
59,Alaska,2009,Male,Suicide,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,734628,380526,354102,55508.075000000004,52118.037000000004,53567.863,58267.975000000006,63028.276999999995,55824.536,46877.865,47433.130000000005,55528.507,58674.694,55982.401000000005,46577.534,30845.068,19721.537,13753.909,9854.869999999999,6238.848,5240.079,26
60,Alaska,2010,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,702506,363551,338955,52137.324,50388.314999999995,51943.761999999995,55105.201,55305.782,50251.103,44410.066,45306.686,51863.426,56265.877,55346.739,47886.136,32149.423,20426.990999999998,13381.073999999999,9076.06,6365.635,5010.15,0
61,Alaska,2010,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,702506,363551,338955,52137.324,50388.314999999995,51943.761999999995,55105.201,55305.782,50251.103,44410.066,45306.686,51863.426,56265.877,55346.739,47886.136,32149.423,20426.990999999998,13381.073999999999,9076.06,6365.635,5010.15,0
62,Alaska,2010,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,702506,363551,338955,52137.324,50388.314999999995,51943.761999999995,55105.201,55305.782,50251.103,44410.066,45306.686,51863.426,56265.877,55346.739,47886.136,32149.423,20426.990999999998,13381.073999999999,9076.06,6365.635,5010.15,0
63,Alaska,2010,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,702506,363551,338955,52137.324,50388.314999999995,51943.761999999995,55105.201,55305.782,50251.103,44410.066,45306.686,51863.426,56265.877,55346.739,47886.136,32149.423,20426.990999999998,13381.073999999999,9076.06,6365.635,5010.15,0
64,Alaska,2010,Male,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,702506,363551,338955,52137.324,50388.314999999995,51943.761999999995,55105.201,55305.782,50251.103,44410.066,45306.686,51863.426,56265.877,55346.739,47886.136,32149.423,20426.990999999998,13381.073999999999,9076.06,6365.635,5010.15,0
65,Alaska,2010,Male,Suicide,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,702506,363551,338955,52137.324,50388.314999999995,51943.761999999995,55105.201,55305.782,50251.103,44410.066,45306.686,51863.426,56265.877,55346.739,47886.136,32149.423,20426.990999999998,13381.073999999999,9076.06,6365.635,5010.15,20
66,Alaska,2011,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,677432,349524,327908,50142.041000000005,47497.413,49671.098000000005,50945.553,52474.58,50805.375,44079.869,44093.691999999995,47331.802,52690.011999999995,54096.504,48190.53599999999,32287.686,20174.273,13264.655,8888.018,6512.775000000001,4467.28,0
67,Alaska,2011,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,677432,349524,327908,50142.041000000005,47497.413,49671.098000000005,50945.553,52474.58,50805.375,44079.869,44093.691999999995,47331.802,52690.011999999995,54096.504,48190.53599999999,32287.686,20174.273,13264.655,8888.018,6512.775000000001,4467.28,0
68,Alaska,2011,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,677432,349524,327908,50142.041000000005,47497.413,49671.098000000005,50945.553,52474.58,50805.375,44079.869,44093.691999999995,47331.802,52690.011999999995,54096.504,48190.53599999999,32287.686,20174.273,13264.655,8888.018,6512.775000000001,4467.28,0
69,Alaska,2011,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,677432,349524,327908,50142.041000000005,47497.413,49671.098000000005,50945.553,52474.58,50805.375,44079.869,44093.691999999995,47331.802,52690.011999999995,54096.504,48190.53599999999,32287.686,20174.273,13264.655,8888.018,6512.775000000001,4467.28,0
70,Alaska,2011,Male,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,677432,349524,327908,50142.041000000005,47497.413,49671.098000000005,50945.553,52474.58,50805.375,44079.869,44093.691999999995,47331.802,52690.011999999995,54096.504,48190.53599999999,32287.686,20174.273,13264.655,8888.018,6512.775000000001,4467.28,0
71,Alaska,2011,Male,Suicide,0,0,0,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,677432,349524,327908,50142.041000000005,47497.413,49671.098000000005,50945.553,52474.58,50805.375,44079.869,44093.691999999995,47331.802,52690.011999999995,54096.504,48190.53599999999,32287.686,20174.273,13264.655,8888.018,6512.775000000001,4467.28,32
72,Alaska,2012,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,675805,351238,324567,50428.643000000004,47391.629,48487.485,49229.127,54011.793,52133.589,45621.098999999995,42650.576,46520.745,50612.841,53223.963,48683.162000000004,33593.632,20040.118,14050.342999999999,8595.753999999999,6084.414,4485.634,0
73,Alaska,2012,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,675805,351238,324567,50428.643000000004,47391.629,48487.485,49229.127,54011.793,52133.589,45621.098999999995,42650.576,46520.745,50612.841,53223.963,48683.162000000004,33593.632,20040.118,14050.342999999999,8595.753999999999,6084.414,4485.634,0
74,Alaska,2012,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,675805,351238,324567,50428.643000000004,47391.629,48487.485,49229.127,54011.793,52133.589,45621.098999999995,42650.576,46520.745,50612.841,53223.963,48683.162000000004,33593.632,20040.118,14050.342999999999,8595.753999999999,6084.414,4485.634,0
75,Alaska,2012,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,675805,351238,324567,50428.643000000004,47391.629,48487.485,49229.127,54011.793,52133.589,45621.098999999995,42650.576,46520.745,50612.841,53223.963,48683.162000000004,33593.632,20040.118,14050.342999999999,8595.753999999999,6084.414,4485.634,0
76,Alaska,2012,Male,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,675805,351238,324567,50428.643000000004,47391.629,48487.485,49229.127,54011.793,52133.589,45621.098999999995,42650.576,46520.745,50612.841,53223.963,48683.162000000004,33593.632,20040.118,14050.342999999999,8595.753999999999,6084.414,4485.634,0
77,Alaska,2012,Male,Suicide,0,0,0,0,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2012,675805,351238,324567,50428.643000000004,47391.629,48487.485,49229.127,54011.793,52133.589,45621.098999999995,42650.576,46520.745,50612.841,53223.963,48683.162000000004,33593.632,20040.118,14050.342999999999,8595.753999999999,6084.414,4485.634,26
