State,F Year,f Gender,ICD-10 113 Cause List,F Under 5 years,F 5-9 years,F 10-14 years,F 15-19 years,F 20-24 years,F 25-29 years,F 30-34 years,F 35-39 years,F 40-44 years,F 45-49 years,F 50-54 years,F 55-59 years,F 60-64 years,F 65-69 years,F 70-74 years,F 75-79 years,F 80-84 years,F 85years and older,F Not Stated
Alabama,2015,Male,Homicide,0,0,0,29,52,60,47,29,32,19,22,15,0,0,0,0,0,0,0
Alabama,2015,Male,Suicide,0,0,0,17,30,35,25,34,36,30,44,41,32,36,18,16,19,21,0
Alabama,2016,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2016,Female,Homicide,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2016,Female,Suicide,0,0,0,0,0,0,0,11,11,0,0,18,13,0,0,0,0,0,0
Alabama,2016,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2016,Male,Homicide,0,0,0,46,77,66,53,38,36,19,11,13,0,0,0,0,0,0,0
Alabama,2016,Male,Suicide,0,0,0,22,34,38,24,29,27,33,49,33,34,34,29,25,16,0,0
Alabama,2017,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2017,Female,Homicide,0,0,0,0,15,0,11,11,0,0,0,0,0,0,0,0,0,0,0
Alabama,2017,Female,Suicide,0,0,0,0,0,0,0,0,12,0,0,13,0,0,0,0,0,0,0
Alabama,2017,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2017,Male,Homicide,0,0,0,40,79,79,59,42,34,29,12,14,0,0,0,0,0,0,0
Alabama,2017,Male,Suicide,0,0,0,13,35,31,30,37,32,40,38,48,48,36,44,28,11,0,0
Alaska,2009,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2009,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2009,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2009,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2009,Male,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2009,Male,Suicide,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2010,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2010,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2010,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2010,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2010,Male,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2010,Male,Suicide,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2011,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2011,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2011,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2011,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2011,Male,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2011,Male,Suicide,0,0,0,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2012,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2012,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2012,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2012,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2012,Male,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2012,Male,Suicide,0,0,0,0,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2013,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2013,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2013,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2013,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2013,Male,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2013,Male,Suicide,0,0,0,12,16,19,12,0,0,10,0,0,0,0,0,0,0,0,0
Alaska,2014,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2014,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2014,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2014,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2014,Male,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2014,Male,Suicide,0,0,0,10,13,14,12,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2015,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2015,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2015,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2015,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2015,Male,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2015,Male,Suicide,0,0,0,0,19,12,0,0,0,12,0,0,0,0,0,0,0,0,0
Alaska,2016,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2016,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2016,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2016,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2016,Male,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2016,Male,Suicide,0,0,0,0,19,16,10,10,0,0,0,0,0,0,0,0,0,0,0
Alaska,2017,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2017,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2017,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2017,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2017,Male,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2017,Male,Suicide,0,0,0,15,15,0,13,0,0,10,0,0,0,0,0,0,0,0,0
Arizona,2009,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2009,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2009,Female,Suicide,0,0,0,0,0,0,10,0,10,12,12,0,0,0,0,0,0,0,0
Arizona,2009,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2009,Male,Homicide,0,0,0,20,34,32,17,21,15,0,13,0,0,0,0,0,0,0,0
Arizona,2009,Male,Suicide,0,0,0,16,35,32,24,32,33,37,54,52,32,20,39,37,32,18,0
Arizona,2010,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2010,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2010,Female,Suicide,0,0,0,0,0,0,0,0,0,11,0,14,0,0,0,0,0,0,0
Arizona,2010,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2010,Male,Homicide,0,0,0,22,47,43,33,25,12,10,12,0,0,0,0,0,0,0,0
Arizona,2010,Male,Suicide,0,0,0,12,48,39,27,41,37,52,60,51,35,24,24,20,43,15,0
Arizona,2011,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2011,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2011,Female,Suicide,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0
Arizona,2011,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2011,Male,Homicide,0,0,0,18,42,48,27,18,17,15,10,0,0,0,0,0,0,0,0
Arizona,2011,Male,Suicide,0,0,0,19,49,52,41,30,44,56,57,61,41,35,24,26,25,24,0
Arizona,2012,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2012,Female,Homicide,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2012,Female,Suicide,0,0,0,0,0,0,0,0,10,0,12,14,11,0,0,0,0,0,0
Arizona,2012,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2012,Male,Homicide,0,0,0,18,42,34,26,16,16,15,10,0,0,0,0,0,0,0,0
Arizona,2012,Male,Suicide,0,0,0,25,43,40,41,48,27,40,47,76,44,45,25,24,22,10,0
Arizona,2013,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2013,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2013,Female,Suicide,0,0,0,0,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0
Arizona,2013,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2013,Male,Homicide,0,0,0,24,36,30,25,18,19,14,13,10,0,0,0,0,0,0,0
Arizona,2013,Male,Suicide,0,0,0,12,31,48,29,49,44,50,64,40,32,38,38,21,39,22,0
Arizona,2014,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2014,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2014,Female,Suicide,0,0,0,0,0,0,13,0,13,0,13,0,14,12,0,0,0,0,0
Arizona,2014,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2014,Male,Homicide,0,0,0,11,23,30,33,21,18,0,13,0,0,0,0,0,0,0,0
Arizona,2014,Male,Suicide,0,0,0,18,43,36,38,35,32,47,50,45,60,38,41,29,24,28,0
Arizona,2015,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2015,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2015,Female,Suicide,0,0,0,0,13,0,0,10,12,0,11,15,10,12,0,0,0,0,0
Arizona,2015,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2015,Male,Homicide,0,0,0,16,47,30,25,13,20,11,11,0,0,0,0,0,0,0,0
Arizona,2015,Male,Suicide,0,0,0,23,36,41,46,30,41,42,46,55,42,44,52,32,28,24,0
Arizona,2016,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2016,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2016,Female,Suicide,0,0,0,0,0,11,12,0,0,12,18,14,0,11,0,0,0,0,0
Arizona,2016,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2016,Male,Homicide,0,0,0,22,40,42,48,22,12,22,11,0,0,0,0,0,0,0,0
Arizona,2016,Male,Suicide,0,0,0,21,40,35,47,36,33,49,50,48,68,49,52,41,38,22,0
Arizona,2017,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2017,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2017,Female,Suicide,0,0,0,0,0,14,0,0,11,0,13,16,0,0,0,0,0,0,0
Arizona,2017,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2017,Male,Homicide,0,0,0,23,44,50,32,31,21,0,10,11,0,0,0,0,0,0,0
Arizona,2017,Male,Suicide,0,0,0,23,55,50,41,43,39,54,43,60,52,43,44,39,37,32,0
Arkansas,2009,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2009,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2009,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2009,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2009,Male,Homicide,0,0,0,12,23,32,15,12,13,11,0,0,0,0,0,0,0,0,0
Arkansas,2009,Male,Suicide,0,0,0,11,23,23,11,16,22,25,28,19,13,16,11,0,13,0,0
Arkansas,2010,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2010,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2010,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2010,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2010,Male,Homicide,0,0,0,0,13,12,24,0,11,0,0,0,0,0,0,0,0,0,0
Arkansas,2010,Male,Suicide,0,0,0,0,17,19,16,22,20,21,20,13,19,19,13,0,0,10,0
Arkansas,2011,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2011,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2011,Female,Suicide,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Arkansas,2011,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2011,Male,Homicide,0,0,0,0,26,26,19,12,11,0,0,0,0,0,0,0,0,0,0
Arkansas,2011,Male,Suicide,0,0,0,10,21,14,17,29,25,26,23,21,16,15,12,10,0,0,0
Arkansas,2012,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2012,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2012,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2012,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2012,Male,Homicide,0,0,0,12,17,32,12,13,12,0,10,0,0,0,0,0,0,0,0
Arkansas,2012,Male,Suicide,0,0,0,10,29,19,16,24,14,22,22,32,21,11,16,11,15,0,0
Arkansas,2013,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2013,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2013,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2013,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2013,Male,Homicide,0,0,0,0,26,24,21,0,12,0,0,0,0,0,0,0,0,0,0
Arkansas,2013,Male,Suicide,0,0,0,12,25,15,18,16,20,25,27,23,14,23,15,13,16,0,0
Arkansas,2014,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2014,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2014,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2014,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2014,Male,Homicide,0,0,0,0,19,20,13,13,20,0,0,0,0,0,0,0,0,0,0
Arkansas,2014,Male,Suicide,0,0,0,11,22,17,17,19,20,19,25,18,27,21,22,0,0,0,0
Arkansas,2015,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2015,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2015,Female,Suicide,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Arkansas,2015,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2015,Male,Homicide,0,0,0,14,29,19,18,0,10,0,0,0,0,0,0,0,0,0,0
Arkansas,2015,Male,Suicide,0,0,0,0,18,18,23,13,20,19,26,27,25,27,21,12,0,0,0
Arkansas,2016,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2016,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2016,Female,Suicide,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0
Arkansas,2016,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2016,Male,Homicide,0,0,0,15,24,24,21,12,16,0,10,10,0,0,0,0,0,0,0
Arkansas,2016,Male,Suicide,0,0,0,10,21,21,13,15,18,10,18,21,25,21,23,20,13,0,0
Arkansas,2017,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2017,Female,Homicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2017,Female,Suicide,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
Arkansas,2017,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,2017,Male,Homicide,0,0,0,22,23,29,14,18,17,11,0,10,0,0,0,0,0,0,0
Arkansas,2017,Male,Suicide,0,0,0,18,24,25,12,23,22,17,29,26,27,22,22,23,0,0,0
California,2009,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2009,Female,Homicide,0,0,0,24,21,26,17,13,0,13,0,0,0,0,0,0,0,0,0
California,2009,Female,Suicide,0,0,0,0,0,12,0,10,12,17,32,16,13,13,0,0,0,0,0
California,2009,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2009,Male,Homicide,0,0,20,268,320,193,152,99,70,77,40,27,0,0,0,0,0,0,0
California,2009,Male,Suicide,0,0,0,47,90,70,65,75,71,131,160,144,119,96,83,64,71,60,0
California,2010,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2010,Female,Homicide,0,0,0,18,26,24,16,15,15,13,0,0,13,0,0,0,0,0,0
California,2010,Female,Suicide,0,0,0,0,0,10,0,11,15,21,32,19,18,15,0,0,0,0,0
California,2010,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2010,Male,Homicide,0,0,10,254,274,200,145,84,66,49,36,26,0,0,0,0,0,0,0
California,2010,Male,Suicide,0,0,0,42,91,63,65,76,65,121,119,147,124,82,81,87,68,75,0
California,2011,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2011,Female,Homicide,0,0,0,16,15,32,19,12,11,16,0,0,0,0,0,0,0,0,0
California,2011,Female,Suicide,0,0,0,0,0,0,0,0,15,23,32,21,21,19,0,0,0,0,0
California,2011,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2011,Male,Homicide,0,0,11,212,265,201,134,88,68,54,48,21,17,0,0,0,0,0,0
California,2011,Male,Suicide,0,0,0,38,74,82,81,71,79,103,153,146,122,103,83,84,72,86,0
California,2012,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2012,Female,Homicide,0,0,0,19,24,17,11,15,13,14,17,0,0,0,0,0,0,0,0
California,2012,Female,Suicide,0,0,0,0,10,0,0,15,13,22,25,19,14,0,0,11,0,0,0
California,2012,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2012,Male,Homicide,0,0,10,206,270,224,153,109,74,49,45,19,16,12,0,0,0,0,0
California,2012,Male,Suicide,0,0,0,32,79,79,75,70,93,105,123,164,113,95,88,90,79,78,0
California,2013,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2013,Female,Homicide,0,0,0,10,28,15,22,15,0,0,14,10,0,0,0,0,0,0,0
California,2013,Female,Suicide,0,0,0,0,12,11,13,12,13,11,31,16,26,10,11,0,0,0,0
California,2013,Male,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2013,Male,Homicide,0,0,0,171,305,167,151,105,84,58,47,24,0,0,0,0,0,0,0
California,2013,Male,Suicide,0,0,0,31,86,80,82,72,89,89,136,129,130,111,87,85,73,90,0
California,2014,Female,Accidental Discharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
